"","x"
"1",12.7228765823502
"2",10.5890630784942
"3",10.8426464636647
"4",11.266993651199
"5",10.9537827303288
"6",11.035082077599
"7",10.963488531124
"8",11.3752187223886
"9",10.5492255774719
"10",11.8049660477984
"11",11.0765378724939
"12",12.7210058756942
"13",9.54428473229881
"14",11.12271436111
"15",11.632678547446
"16",11.6783984783042
"17",11.2263234340175
"18",10.5552504472995
"19",12.5058785341115
"20",13.097897253356
"21",11.9049613818985
"22",11.4692059905939
"23",10.5074694266652
"24",10.2307203454098
"25",10.0789951256418
"26",11.1091636739848
"27",12.2421954299215
"28",10.0491873848677
"29",11.1054230951875
"30",11.0478659375012
"31",10.4754154864893
"32",10.5263050343441
"33",12.5912598133929
"34",11.0635302484677
"35",11.2678485711835
"36",10.785272346803
"37",11.8875992889837
"38",11.5743433877731
"39",10.9115694177911
"40",10.9290803720677
