"","x"
"1",12.3624396033273
"2",10.43259190102
"3",10.2999221214297
"4",10.918948744879
"5",10.7150696457412
"6",10.7632685260065
"7",10.7348212808319
"8",10.7450358890206
"9",10.3837675131808
"10",11.4167674787131
"11",10.7899087628824
"12",12.5478502153151
"13",9.59805202491489
"14",11.081814281392
"15",11.1468584302851
"16",11.3516342086871
"17",10.6828994722685
"18",10.1474171139351
"19",12.3020435954383
"20",12.5865946484396
"21",11.8368240274165
"22",11.0337747819657
"23",10.0252565625982
"24",10.0112885748158
"25",9.70504830671723
"26",11.2063631779441
"27",11.7668726745214
"28",10.1266655430033
"29",10.7005529905513
"30",10.8528967093032
"31",9.92471952204612
"32",9.7893989126973
"33",12.3729567687304
"34",10.4833025858354
"35",10.948245321453
"36",10.2992414907144
"37",11.2302681878302
"38",11.3650364332299
"39",10.5960092225695
"40",10.824359877614
